Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ;1.135.450;728.768;728.768;128.694
ΔΗΜΟΣ ΟΙΧΑΛΙΑΣ;2.245.400;68.447;49.78;322
ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ;4.357.876;771.251;708.937;16.9
ΔΗΜΟΣ ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ;1.647.849;735.118;735.118;299.419
ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ;1.484.513;1.936.237;1.696.214;535.439
ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ;4.596.119;393.903;328.488;105.268
ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ;5.814.027;751.951;713.789;90.366
ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ;5.394.325;387.069;374.33;163.225
ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ;6.400.042;927.585;925.947;206.906
ΔΗΜΟΣ ΠΑΛΑΜΑ;2.394.405;1.187.121;542.7;88.092
ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ;14.317.748;355.433;6.977;0
ΔΗΜΟΣ ΠΑΞΩΝ;472.721;92.021;85.525;3.924
ΔΗΜΟΣ ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ;2.552.192;1.087.135;1.075.781;34.986
ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ;1.434.256;141.052;129.119;20.213
ΔΗΜΟΣ ΠΑΡΓΑΣ;1.562.056;516.812;452.467;68.755
ΔΗΜΟΣ ΠΑΡΟΥ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ
ΔΗΜΟΣ ΠΑΤΜΟΥ;2.957.841;241.463;177.782;169.475
ΔΗΜΟΣ ΠΑΤΡΕΩΝ;54.026.859;2.778.775;2.734.940;598.939
ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ;15.442.321;1.205.258;1.123.868;124.47
ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ;49.747.143;6.208.989;5.586.820;-204.101
ΔΗΜΟΣ ΠΕΛΛΑΣ;9.766.855;2.317.235;2.113.659;956.974
ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ;5.462.309;1.253.261;306.175;67.524
ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ;18.174.043;4.094;4.039;2.181
ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ;5.352.241;3.211.862;3.088.018;281.31
ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΕΩΣ;6.044.456;1.833.208;1.006.917;197.5
ΔΗΜΟΣ ΠΗΝΕΙΟΥ;2.984.502;1.296.526;1.253.726;68.01
ΔΗΜΟΣ ΠΛΑΤΑΝΙΑ;6.859.827;654.057;408.119;12.244
ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ;3.504.146;2.134.562;2.133.569;437.095
ΔΗΜΟΣ ΠΟΡΟΥ;1.273.306;335.213;93.811;88.231
ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ;2.153.668;2.022.096;1.963.779;613.964
ΔΗΜΟΣ ΠΡΕΣΠΩΝ;800.782;312.897;312.896;38.201
ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ;1.814.611;1.446.763;572.554;230.334
ΔΗΜΟΣ ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ;1.756.969;353.796;353.796;86.34
ΔΗΜΟΣ ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ;9.383.355;2.032.257;2.030.509;76.408
ΔΗΜΟΣ ΠΥΛΗΣ;1.073.504;273.512;255.72;39
ΔΗΜΟΣ ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ;3.197.672;566.869;408.314;0
ΔΗΜΟΣ ΠΥΡΓΟΥ;10.238.218;2.122.977;2.122.977;310.74
ΔΗΜΟΣ ΠΩΓΩΝΙΟΥ;2.863.726;477.178;476.904;47.14
ΔΗΜΟΣ ΡΑΦΗΝΑΣ-ΠΙΚΕΡΜΙΟΥ;3.638.782;3.593.334;3.590.012;165.397
ΔΗΜΟΣ ΡΕΘΥΜΝΗΣ;24.387.845;2.579.573;2.281.827;28.765
ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ;2.623.675;418.825;414.454;154.384
ΔΗΜΟΣ ΡΟΔΟΥ;17.546.993;5.386.074;5.386.074;999.562
ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ;4.715.475;702.281;698.932;258.319
ΔΗΜΟΣ ΣΑΜΗΣ;2.984.788;430.897;399.926;3.052
ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ;988.092;187.693;112.017;8.442
ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ;8.524.297;2.597.541;819.344;512.275
ΔΗΜΟΣ ΣΕΡΒΙΩΝ;1.159.852;588.37;524.896;53.362
ΔΗΜΟΣ ΣΕΡΙΦΟΥ;1.219.584;111.912;111.82;12.13
ΔΗΜΟΣ ΣΕΡΡΩΝ;20.106.573;1.820.251;1.793.440;428.141
ΔΗΜΟΣ ΣΗΤΕΙΑΣ;3.589.329;738.688;678.203;38.358
ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ;2.421.305;767.097;767.097;131.204
ΔΗΜΟΣ ΣΙΚΙΝΟΥ;606.001;5.9;5.9;285
ΔΗΜΟΣ ΣΙΚΥΩΝΙΩΝ;5.020.987;226.175;179.488;12
ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ;8.937.706;389.847;332.722;73.61
ΔΗΜΟΣ ΣΙΦΝΟΥ;2.565.821;1.982.714;1.930.481;549.306
ΔΗΜΟΣ ΣΚΙΑΘΟΥ;7.214.765;1.171.725;1.166.759;341.511
ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ;922.919;540.758;535.628;44.808
ΔΗΜΟΣ ΣΚΥΔΡΑΣ;580.67;224.636;219.428;165.595
ΔΗΜΟΣ ΣΚΥΡΟΥ;2.069.438;699.587;459.817;37.269
ΔΗΜΟΣ ΣΟΥΛΙΟΥ;973.07;471.756;466.367;39.487
ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ;4.735.995;1.693.621;1.299.825;412.265
ΔΗΜΟΣ ΣΟΦΑΔΩΝ;3.823.408;649.558;343.059;7.831
ΔΗΜΟΣ ΣΠΑΡΤΗΣ;10.395.166;334.269;246.651;4.463
ΔΗΜΟΣ ΣΠΑΤΩΝ-ΑΡΤΕΜΙΔΟΣ;9.743.363;556.271;283.891;164.282
ΔΗΜΟΣ ΣΠΕΤΣΩΝ;1.901.640;521.365;513.113;266.906
ΔΗΜΟΣ ΣΤΥΛΙΔΑΣ;569.052;585.521;562.927;125.418
ΔΗΜΟΣ ΣΥΜΗΣ;2.219.210;49.714;1.706;658
ΔΗΜΟΣ ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ;7.526.508;1.687.387;1.636.440;28.151
ΔΗΜΟΣ ΣΦΑΚΙΩΝ;633.495;226.672;226.672;30.752
ΔΗΜΟΣ ΤΑΝΑΓΡΑΣ;8.475.136;913.769;913.769;133.555
ΔΗΜΟΣ ΤΕΜΠΩΝ;2.474.081;629.816;626.37;28.471
ΔΗΜΟΣ ΤΗΛΟΥ;611.205;13.748;13.748;7.351
ΔΗΜΟΣ ΤΗΝΟΥ;2.120.330;520.828;149.197;60.344
ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ;318.72;874.72;605.745;331.01
ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ;6.085.343;1.633.625;1.624.619;30.594
ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ;6.576.540;1.304.749;207.262;78.077
ΔΗΜΟΣ ΤΡΙΦΥΛΙΑΣ;8.638.716;1.081.268;971.682;214.067
ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ-ΜΕΘΑΝΩΝ;2.024.215;572.102;416.909;30.198
