Date,Value,isCovid,isHoliday,isChristmas,isWeekday,isSummer,index
2020-11-05 00:00:00,1.3900000000001,1,0,0,1,0,1
2020-11-06 00:00:00,1.23000000000002,1,0,0,1,0,1
2020-11-07 00:00:00,1.26999999999998,1,0,0,0,0,1
2020-11-08 00:00:00,0.639999999999873,1,0,0,0,0,1
2020-11-09 00:00:00,0.0,1,0,0,1,0,1
2020-11-10 00:00:00,1.27999999999997,1,0,0,1,0,1
2020-11-11 00:00:00,1.06000000000017,1,0,0,1,0,1
2020-11-12 00:00:00,1.23000000000002,1,0,0,1,0,1
2020-11-13 00:00:00,0.979999999999791,1,0,0,1,0,1
2020-11-14 00:00:00,1.43000000000006,1,0,0,0,0,1
2020-11-15 00:00:00,0.829999999999927,1,0,0,0,0,1
2020-11-16 00:00:00,0.0,1,0,0,1,0,1
2020-11-17 00:00:00,1.37000000000012,1,0,0,1,0,1
2020-11-18 00:00:00,1.04999999999995,1,0,0,1,0,1
2020-11-19 00:00:00,1.45000000000005,1,0,0,1,0,1
2020-11-20 00:00:00,1.28999999999996,1,0,0,1,0,1
2020-11-21 00:00:00,1.50999999999999,1,0,0,0,0,1
2020-11-22 00:00:00,0.6400000000001,1,0,0,0,0,1
2020-11-23 00:00:00,0.0699999999999363,1,0,0,1,0,1
2020-11-24 00:00:00,1.27999999999997,1,0,0,1,0,1
2020-11-25 00:00:00,1.05999999999995,1,0,0,1,0,1
2020-11-26 00:00:00,16.26,1,0,0,1,0,1
2020-11-27 00:00:00,11.75,1,0,0,1,0,1
2020-11-28 00:00:00,1.49000000000001,1,0,0,0,0,1
2020-11-29 00:00:00,0.6400000000001,1,0,0,0,0,1
2020-11-30 00:00:00,0.0899999999999181,1,0,0,1,0,1
2020-12-01 00:00:00,1.48000000000002,1,0,1,1,0,1
2020-12-02 00:00:00,1.02999999999997,1,0,1,1,0,1
2020-12-03 00:00:00,1.52999999999997,1,0,1,1,0,1
2020-12-04 00:00:00,1.11000000000013,1,0,1,1,0,1
2020-12-05 00:00:00,1.42000000000007,1,0,1,0,0,1
2020-12-06 00:00:00,0.789999999999964,1,0,1,0,0,1
2020-12-07 00:00:00,0.0599999999999454,1,0,1,1,0,1
2020-12-08 00:00:00,1.46000000000004,1,0,1,1,0,1
2020-12-09 00:00:00,1.1099999999999,1,0,1,1,0,1
2020-12-10 00:00:00,1.30999999999995,1,0,1,1,0,1
2020-12-11 00:00:00,1.01000000000022,1,0,1,1,0,1
2020-12-12 00:00:00,1.33999999999992,1,0,1,0,0,1
2020-12-13 00:00:00,0.829999999999927,1,0,1,0,0,1
2020-12-14 00:00:00,0.0,1,0,1,1,0,1
2020-12-15 00:00:00,1.15000000000009,1,0,1,1,0,1
2020-12-16 00:00:00,1.1099999999999,1,0,1,1,0,1
2020-12-17 00:00:00,1.37000000000012,1,0,1,1,0,1
2020-12-18 00:00:00,1.02999999999997,1,0,1,1,0,1
2020-12-19 00:00:00,1.12999999999988,1,0,1,0,0,1
2020-12-20 00:00:00,0.360000000000127,1,0,1,0,0,1
2020-12-21 00:00:00,0.0599999999999454,1,0,1,1,0,1
2020-12-22 00:00:00,1.26999999999998,1,0,1,1,0,1
2020-12-23 00:00:00,0.819999999999936,1,0,1,1,0,1
2020-12-24 00:00:00,1.32000000000016,1,0,1,1,0,1
2020-12-25 00:00:00,0.689999999999827,1,1,1,1,0,1
2020-12-26 00:00:00,0.0,1,1,1,0,0,1
2020-12-27 00:00:00,0.0,1,0,1,0,0,1
2020-12-28 00:00:00,0.200000000000045,1,0,1,1,0,1
2020-12-29 00:00:00,1.26999999999998,1,0,1,1,0,1
2020-12-30 00:00:00,0.920000000000073,1,0,1,1,0,1
2020-12-31 00:00:00,1.26999999999998,1,0,1,1,0,1
2021-01-02 00:00:00,0.670000000000073,0,0,1,0,0,1
2021-01-03 00:00:00,0.0,0,0,1,0,0,1
2021-01-04 00:00:00,0.0,0,0,1,1,0,1
2021-01-05 00:00:00,1.42999999999984,0,0,1,1,0,1
2021-01-06 00:00:00,0.970000000000027,0,1,1,1,0,1
2021-01-07 00:00:00,0.0,0,0,1,1,0,1
2021-01-08 00:00:00,0.950000000000045,0,0,0,1,0,1
2021-01-09 00:00:00,1.30999999999995,0,0,0,0,0,1
2021-01-10 00:00:00,0.170000000000073,0,0,0,0,0,1
2021-01-11 00:00:00,0.0,0,0,0,1,0,1
2021-01-12 00:00:00,1.20000000000005,0,0,0,1,0,1
2021-01-13 00:00:00,1.03999999999996,0,0,0,1,0,1
2021-01-14 00:00:00,1.25999999999999,0,0,0,1,0,1
2021-01-15 00:00:00,0.900000000000091,0,0,0,1,0,1
2021-01-16 00:00:00,1.42999999999984,0,0,0,0,0,1
2021-01-17 00:00:00,0.2800000000002,0,0,0,0,0,1
2021-01-18 00:00:00,0.0,0,0,0,1,0,1
2021-01-19 00:00:00,1.25,0,0,0,1,0,1
2021-01-20 00:00:00,1.01999999999998,0,0,0,1,0,1
2021-01-21 00:00:00,1.34999999999991,0,0,0,1,0,1
2021-01-22 00:00:00,1.04999999999995,0,0,0,1,0,1
2021-01-23 00:00:00,1.33000000000015,0,0,0,0,0,1
2021-01-24 00:00:00,0.159999999999854,0,0,0,0,0,1
2021-01-25 00:00:00,0.110000000000127,0,0,0,1,0,1
2021-01-26 00:00:00,1.30999999999995,0,0,0,1,0,1
2021-01-27 00:00:00,0.990000000000009,0,0,0,1,0,1
2021-01-28 00:00:00,1.28999999999996,0,0,0,1,0,1
2021-01-29 00:00:00,1.00999999999999,0,0,0,1,0,1
2021-01-30 00:00:00,1.45000000000005,0,0,0,0,0,1
2021-01-31 00:00:00,0.129999999999882,0,0,0,0,0,1
2021-02-01 00:00:00,0.0,1,0,0,1,0,1
2021-02-02 00:00:00,1.30000000000018,1,0,0,1,0,1
2021-02-03 00:00:00,0.889999999999873,1,0,0,1,0,1
2021-02-04 00:00:00,1.22000000000003,1,0,0,1,0,1
2021-02-05 00:00:00,0.940000000000055,1,0,0,1,0,1
2021-02-06 00:00:00,1.36999999999989,1,0,0,0,0,1
2021-02-07 00:00:00,0.130000000000109,1,0,0,0,0,1
2021-02-08 00:00:00,0.0,1,0,0,1,0,1
2021-02-09 00:00:00,1.34999999999991,1,0,0,1,0,1
2021-02-10 00:00:00,1.0,1,0,0,1,0,1
2021-02-11 00:00:00,1.47000000000003,1,0,0,1,0,1
2021-02-12 00:00:00,1.00999999999999,1,0,0,1,0,1
2021-02-13 00:00:00,1.3900000000001,1,0,0,0,0,1
2021-02-14 00:00:00,0.159999999999854,1,0,0,0,0,1
2021-02-15 00:00:00,0.0,1,0,0,1,0,1
2021-02-16 00:00:00,1.18000000000006,1,0,0,1,0,1
2021-02-17 00:00:00,0.0699999999999363,1,0,0,1,0,1
2021-02-18 00:00:00,0.830000000000155,1,0,0,1,0,1
2021-02-19 00:00:00,0.8599999999999,1,0,0,1,0,1
2021-02-20 00:00:00,1.22000000000003,1,0,0,0,0,1
2021-02-21 00:00:00,0.170000000000073,1,0,0,0,0,1
2021-02-22 00:00:00,0.0,1,0,0,1,0,1
2021-02-23 00:00:00,1.30999999999995,1,0,0,1,0,1
2021-02-24 00:00:00,0.879999999999882,1,0,0,1,0,1
2021-02-25 00:00:00,1.25,1,0,0,1,0,1
2021-02-26 00:00:00,0.940000000000055,1,0,0,1,0,1
2021-02-27 00:00:00,1.37000000000012,1,0,0,0,0,1
2021-02-28 00:00:00,0.1099999999999,1,0,0,0,0,1
2021-03-01 00:00:00,0.0,1,0,0,1,0,1
2021-03-02 00:00:00,1.43000000000006,1,0,0,1,0,1
2021-03-03 00:00:00,0.970000000000027,1,0,0,1,0,1
2021-03-04 00:00:00,1.41999999999985,1,0,0,1,0,1
2021-03-05 00:00:00,0.910000000000082,1,0,0,1,0,1
2021-03-06 00:00:00,1.45000000000005,1,0,0,0,0,1
2021-03-07 00:00:00,0.129999999999882,1,0,0,0,0,1
2021-03-08 00:00:00,0.0,1,0,0,1,0,1
2021-03-09 00:00:00,1.35000000000014,1,0,0,1,0,1
2021-03-10 00:00:00,1.02999999999997,1,0,0,1,0,1
2021-03-11 00:00:00,1.40999999999985,1,0,0,1,0,1
2021-03-12 00:00:00,1.11000000000013,1,0,0,1,0,1
2021-03-13 00:00:00,1.3599999999999,1,0,0,0,0,1
2021-03-14 00:00:00,0.120000000000118,1,0,0,0,0,1
2021-03-15 00:00:00,0.0,1,1,0,1,0,1
2021-03-16 00:00:00,0.0,1,0,0,1,0,1
2021-03-17 00:00:00,1.04999999999995,1,0,0,1,0,1
2021-03-18 00:00:00,1.28999999999996,1,0,0,1,0,1
2021-03-19 00:00:00,1.15000000000009,1,0,0,1,0,1
2021-03-20 00:00:00,1.48000000000002,1,0,0,0,0,1
2021-03-21 00:00:00,0.139999999999873,1,0,0,0,0,1
2021-03-22 00:00:00,0.0,1,0,0,1,0,1
2021-03-23 00:00:00,1.44000000000005,1,0,0,1,0,1
2021-03-24 00:00:00,1.16000000000008,1,0,0,1,0,1
2021-03-25 00:00:00,1.33999999999992,1,1,0,1,0,1
2021-03-26 00:00:00,0.0,1,0,0,1,0,1
2021-03-27 00:00:00,1.0,1,0,0,0,0,1
2021-03-28 00:00:00,0.190000000000055,1,0,0,0,0,1
2021-03-29 00:00:00,0.0,1,0,0,1,0,1
2021-03-30 00:00:00,1.30999999999995,1,0,0,1,0,1
2021-03-31 00:00:00,1.03999999999996,1,0,0,1,0,1
2021-04-01 00:00:00,1.40000000000009,1,0,0,1,0,1
2021-04-02 00:00:00,1.08999999999992,1,0,0,1,0,1
2021-04-03 00:00:00,1.23000000000002,1,0,0,0,0,1
2021-04-04 00:00:00,0.1400000000001,1,0,0,0,0,1
2021-04-05 00:00:00,0.0,1,0,0,1,0,1
2021-04-06 00:00:00,1.38999999999987,1,0,0,1,0,1
2021-04-07 00:00:00,1.15000000000009,1,0,0,1,0,1
2021-04-08 00:00:00,1.24000000000001,1,0,0,1,0,1
2021-04-09 00:00:00,0.960000000000036,1,0,0,1,0,1
2021-04-10 00:00:00,1.14999999999986,1,0,0,0,0,1
2021-04-13 00:00:00,1.57999999999993,1,0,0,1,0,1
2021-04-14 00:00:00,1.06000000000017,1,0,0,1,0,1
2021-04-15 00:00:00,1.54999999999995,1,0,0,1,0,1
2021-04-16 00:00:00,1.06999999999994,1,0,0,1,0,1
2021-04-17 00:00:00,1.29999999999995,1,0,0,0,0,1
2021-04-18 00:00:00,0.190000000000055,1,0,0,0,0,1
2021-04-19 00:00:00,0.0099999999999909,1,0,0,1,0,1
2021-04-20 00:00:00,1.44000000000005,1,0,0,1,0,1
2021-04-21 00:00:00,1.25999999999999,1,0,0,1,0,1
2021-04-22 00:00:00,1.61999999999989,1,0,0,1,0,1
2021-04-23 00:00:00,1.15000000000009,1,0,0,1,0,1
2021-04-24 00:00:00,1.46000000000004,1,0,0,0,0,1
2021-04-25 00:00:00,0.119999999999891,1,0,0,0,0,1
2021-04-26 00:00:00,0.0599999999999454,1,0,0,1,0,1
2021-04-27 00:00:00,1.52000000000021,1,0,0,1,0,1
2021-04-28 00:00:00,1.05999999999995,1,0,0,1,0,1
2021-04-29 00:00:00,1.28999999999996,1,0,0,1,0,1
2021-04-30 00:00:00,0.920000000000073,1,0,0,1,0,1
2021-05-01 00:00:00,0.1099999999999,0,1,0,0,0,1
2021-05-02 00:00:00,0.1400000000001,0,0,0,0,0,1
2021-05-03 00:00:00,0.0,0,1,0,1,0,1
2021-05-04 00:00:00,0.0099999999999909,0,1,0,1,0,1
2021-05-05 00:00:00,0.0,0,0,0,1,0,1
2021-05-06 00:00:00,1.29999999999995,0,0,0,1,0,1
2021-05-07 00:00:00,1.1099999999999,0,0,0,1,0,1
2021-05-08 00:00:00,1.36000000000013,0,0,0,0,0,1
2021-05-09 00:00:00,0.119999999999891,0,0,0,0,0,1
2021-05-10 00:00:00,0.0099999999999909,0,0,0,1,0,1
2021-05-11 00:00:00,1.29999999999995,0,0,0,1,0,1
2021-05-12 00:00:00,1.00999999999999,0,0,0,1,0,1
2021-05-13 00:00:00,1.26000000000022,0,0,0,1,0,1
2021-05-14 00:00:00,1.07999999999993,0,0,0,1,0,1
2021-05-15 00:00:00,1.23000000000002,0,0,0,0,0,1
2021-05-16 00:00:00,0.139999999999873,0,0,0,0,0,1
2021-05-17 00:00:00,0.0500000000001819,0,0,0,1,0,1
2021-05-18 00:00:00,1.27999999999997,0,0,0,1,0,1
2021-05-19 00:00:00,0.819999999999936,0,0,0,1,0,1
2021-05-20 00:00:00,1.18000000000006,0,0,0,1,0,1
2021-05-21 00:00:00,0.939999999999827,0,0,0,1,0,1
2021-05-22 00:00:00,1.17000000000007,0,0,0,0,0,1
2021-05-23 00:00:00,0.0399999999999636,0,0,0,0,0,1
2021-05-24 00:00:00,0.0,0,0,0,1,0,1
2021-05-25 00:00:00,1.34000000000015,0,0,0,1,0,1
2021-05-26 00:00:00,0.929999999999836,0,0,0,1,0,1
