ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
803,38.019282,23.7421828,10,ΑΘΗΝΑΙΩΝ,1,ΚΡΥΣΤΑΛΛΗ 10  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11141,ΚΡΥΣΤΑΛΛΗ,142 ΔΗΜΟΤΙΚΟ,ΚΥΠΡΙΑΔΟΥ,11141.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"24107,65",145.0,146.0
804,37.9875642,23.6325679,111,ΝΙΚΑΙΑΣ,1.5,ΚΡΥΣΤΑΛΛΗ 111  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18452,ΚΡΥΣΤΑΛΛΗ,25 ΔΗΜΟΤΙΚΟ ΝΙΚΑΙΑΣ,ΑΝΑΛΗΨΗ,18452.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19739,51",129.0,112.0
805,37.8980926,23.7540292,1,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΚΥΘΗΡΩΝ 1  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΚΥΘΗΡΩΝ,6 ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",14.0,18.0
806,37.9124385,23.7465877,3,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΚΥΚΛΑΔΩΝ 3  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΚΥΚΛΑΔΩΝ,3 ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",16.0,16.0
807,38.045009,23.7385062,6,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,2,ΚΥΚΛΑΔΩΝ 6  Δήμος ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ ΤΚ 14342,ΚΥΚΛΑΔΩΝ,ΓΥΜΝΑΣΤΗΡΙΟ 2 ΓΥΜΝ- ΛΥΚ,ΝΕΑ ΜΑΔΥΤΟΣ,14342.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21269,33",184.0,0.0
808,37.912755,23.7469345,7,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,,ΚΥΚΛΑΔΩΝ 7  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΚΥΚΛΑΔΩΝ,6 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",72.0,57.0
809,38.0275932,23.6810271,142,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΚΥΚΛΑΜΙΝΩΝ 142 Ξ Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12137,ΚΥΚΛΑΜΙΝΩΝ,41 ΔΗΜΟΤΙΚΟ,ΑΓ. ΙΕΡΟΘΕΟΣ,12137.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19314,53",63.0,59.0
810,37.9671799,23.7090155,2,ΑΘΗΝΑΙΩΝ,1.5,ΚΥΚΛΩΠΩΝ 2  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11852,ΚΥΚΛΩΠΩΝ,76 ΔΗΜΟΤΙΚΟ,ΑΝΩ ΠΕΤΡΑΛΩΝΑ,11852.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20264,12",175.0,200.0
811,38.0188189,23.7514292,16,ΓΑΛΑΤΣΙΟΥ,1,ΚΥΜΟΘΟΗΣ 16  Δήμος ΓΑΛΑΤΣΙΟΥ ΤΚ 11146,ΚΥΜΟΘΟΗΣ,11 ΔΗΜΟΤΙΚΟ,ΓΑΛΑΤΣΙ,11146.0,ΓΑΛΑΤΣΙΟΥ,57917.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22428,94",125.0,138.0
812,38.0415481,23.5484137,31,ΕΛΕΥΣΙΝΟΣ,1,ΚΥΜΟΘΟΗΣ 31 Ξ Δήμος ΕΛΕΥΣΙΝΟΣ ΤΚ 19200,ΚΥΜΟΘΟΗΣ,6 ΝΗΠΙΑΓΩΓΕΙΟ,ΕΛΕΥΣΙΝΑ,19200.0,ΕΛΕΥΣΙΝΑΣ,29619.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"21516,82",26.0,22.0
813,37.9645366,23.740302,27,ΑΘΗΝΑΙΩΝ,5/8,ΚΥΝΙΣΚΑΣ 27  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11636,ΚΥΝΙΣΚΑΣ,13 ΔΗΜΟΤΙΚΟ/ 10 & 11 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ,11636.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"26419,63",12.0,15.0
814,37.9643403,23.7400191,31,ΑΘΗΝΑΙΩΝ,1,ΚΥΝΙΣΚΑΣ 31  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11636,ΚΥΝΙΣΚΑΣ,17 ΓΥΜΝΑΣΙΟ - 17 ΤΕΛ,ΠΑΓΚΡΑΤΙ ΣΤΑΔΙΟ,11636.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"26419,63",154.0,138.0
815,37.8832799,23.7707435,114,ΓΛΥΦΑΔΑΣ,1,ΚΥΝΟΥΡΙΑΣ 114  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16561,ΚΥΝΟΥΡΙΑΣ,4 ΛΥΚΕΙΟ,ΤΕΡΨΙΘΕΑ,16561.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25976,81",180.0,187.0
816,38.0183568,23.6483151,72,ΧΑΙΔΑΡΙΟΥ,1.5,ΚΥΠΡΙΩΝ ΑΓΩΝΙΣΤΩΝ 72  Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12462,ΚΥΠΡΙΩΝ ΑΓΩΝΙΣΤΩΝ,6 & 18 ΝΗΠΙΑΓΩΓΩΓΕΙΑ,ΔΑΣΟΣ,12462.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"25738,07",0.0,0.0
817,37.9664459,23.6444149,117,ΝΙΚΑΙΑΣ,,ΚΥΠΡΟΥ 117  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18451,ΚΥΠΡΟΥ,,ΟΣΙΑ ΞΕΝΗ,18451.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"20617,4",100.5,96.5
818,37.9845573,23.6478153,16,ΚΟΡΥΔΑΛΛΟΥ,2,ΚΥΠΡΟΥ 16  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18120,ΚΥΠΡΟΥ,11 ΔΗΜΟΤΙΚΟ,ΚΟΡΥΔΑΛΛΟΣ,18120.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19697,43",98.0,89.0
819,38.0162288,23.7112679,162,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΚΥΠΡΟΥ 162  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΚΥΠΡΟΥ,14 ΓΥΜΝΑΣΙΟ,ΜΠΟΥΡΝΑΖΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",117.0,84.0
820,37.9915984999999,23.7917071,4,ΠΑΠΑΓΟΥ,,ΚΥΠΡΟΥ 4  Δήμος ΠΑΠΑΓΟΥ ΤΚ 15669,ΚΥΠΡΟΥ,,ΠΑΠΑΓΟΣ,15669.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"38557,58",130.5,130.5
821,38.0044048,23.7336716,43,ΑΘΗΝΑΙΩΝ,1,ΚΥΠΡΟΥ 43  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11253,ΚΥΠΡΟΥ,21 & 165 ΔΗΜΟΤΙΚΟ- 37 ΝΗΠ/ΓΕΙΟ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,11253.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"17866,02",97.0,78.0
822,35.126413,33.429859,87,ΝΙΚΑΙΑΣ,1.5,ΚΥΠΡΟΥ 87  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18453,ΚΥΠΡΟΥ,2 ΔΗΜΟΤΙΚΟ ΝΙΚΑΙΑΣ,ΟΣΙΑ ΞΕΝΗ,18453.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18125,24",72.0,75.0
823,38.007413,23.7016852,15,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΚΥΠΡΟΥ ΛΕΩΦ. 15  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12132,ΚΥΠΡΟΥ ΛΕΩΦ.,3 ΓΥΜΝ. - 1 ΕΣΠΕΡ.ΤΕΕ,ΠΕΡΙΣΤΕΡΙ,12132.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21136,59",170.0,201.0
824,37.8984486,23.7575639,198,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,,ΚΥΠΡΟΥ ΛΕΩΦ. 198  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΚΥΠΡΟΥ ΛΕΩΦ.,1 ΤΕΕ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",197.0,91.0
825,37.9852865,23.754445,12,ΑΘΗΝΑΙΩΝ,1.5,ΚΥΡΙΑΚΟΥ Π. 12  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11521,ΚΥΡΙΑΚΟΥ Π.,2 ΠΕΙΡΑΜΑΤΙΚΟ ΛΥΚΕΙΟ,ΑΜΠΕΛΟΚΗΠΟΙ,11521.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"41821,07",241.0,243.0
826,37.9869844,23.7551882,4,ΑΘΗΝΑΙΩΝ,1,ΚΥΡΙΑΚΟΥ Π. 4  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11521,ΚΥΡΙΑΚΟΥ Π.,2 ΕΣΠ ΓΕΛ - ΓΥΜΝΑΣΙΟ,ΑΜΠΕΛΟΚΗΠΟΙ,11521.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"41821,07",0.0,0.0
827,37.998375,23.7380455,44,ΑΘΗΝΑΙΩΝ,1,ΚΥΨΕΛΗΣ 44  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11362,ΚΥΨΕΛΗΣ,15 ΓΕΛ,ΚΥΨΕΛΗ,11362.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21400,41",0.0,0.0
828,37.9596726,23.6527253,34,ΠΕΙΡΑΙΩΣ,2,ΚΩ 34  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18542,ΚΩ,14 ΓΥΜΝΑΣΙΟ ΠΕΙΡΑΙΑ,ΛΕΥΚΑ,18542.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"17908,94",127.0,123.0
829,37.9859393,23.732951,34,ΑΘΗΝΑΙΩΝ,5/8,ΚΩΛΕΤΤΗ 34  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10682,ΚΩΛΕΤΤΗ,35 ΔΗΜΟΤΙΚΟ ΚΑΙ 95 ΝΗΠΙΑΓΩΓΕΙΟ,ΕΞΑΡΧΕΙΑ,10682.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"31070,62",10.0,11.0
830,37.9608798,23.7542546,21,ΒΥΡΩΝΟΣ,5/8,ΚΩΝΣΤΑΝΤΙΛΙΕΡΗ 21 Α Δήμος ΒΥΡΩΝΟΣ ΤΚ 16231,ΚΩΝΣΤΑΝΤΙΛΙΕΡΗ,Α Β Γ ΔΗΜ ΣΧΟΛ ΒΥΡΩΝΑ ΔΗΜ.ΒΥΡΩΝΑ,ΒΥΡΩΝΑΣ,16231.0,ΒΥΡΩΝΟΣ,59134.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21603,03",0.0,0.0
831,38.0797242,23.7392732,315,ΑΧΑΡΝΩΝ,5/8,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 315  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13671,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,1 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΑΛ. ΜΕΝΙΔΙ,13671.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"18548,71",26.0,25.0
832,38.0393826,23.6929016,37,ΠΕΤΡΟΥΠΟΛΕΩΣ,1,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 37  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13232,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,1ΟΝ ΕΠΑΛ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΗ,13232.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,,281.0,154.0
833,37.9650058,23.5777387,5,ΠΕΡΑΜΑΤΟΣ,1.5,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 5  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,2 ΓΥΜΝΑΣΤ,ΜΠΛΑΖΑΚΗ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",142.0,127.0
834,37.9021292,23.7551305,89,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 89 Ξ Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,7 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",117.0,122.0
835,37.995966,23.7209457,194,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ. 194  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ.,"20 ΔΗΜΟΤΙΚΟ, 5-15 ΝΗΠΙΑΓ.",ΠΕΡΙΣΤΕΡΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",127.0,102.0
836,38.0022716,23.7209309,270,ΑΘΗΝΑΙΩΝ,1,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ. 270  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10445,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ.,67 ΓΥΜΝΑΣΙΟ,ΚΟΛΩΝΟΣ,10445.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18173,09",134.0,115.0
837,37.9955732,23.7198416,277,ΑΓ. ΑΝΑΡΓΥΡΩΝ,5/8,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ. 277  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13562,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΛΕΩΦ.,ΠΕΙΡΑΜΑΤΙΚΟ ΛΥΚΕΙΟ ΑΓ. ΑΝΑΡΓΥΡΩΝ,ΑΝΑΚΑΣΑ,13562.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20321,38",112.0,130.0
838,37.9643568,23.6215313,0,ΚΕΡΑΤΣΙΝΙΟΥ,1.5,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΤΕΡΜΑ ΠΡΟΕΚΤ 0  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18757,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΤΕΡΜΑ ΠΡΟΕΚΤ,,ΧΑΛΚΗΔΩΝ,18757.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19724,01",138.0,131.5
839,37.9224702,23.7476871,113,ΗΛΙΟΥΠΟΛΕΩΣ,5/8,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ 113  Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16341,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ,22 ΔΗΜΟΤΙΚΟ,ΗΛΙΟΥΠΟΛΗ,16341.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23993,66",23.0,21.0
840,37.9643875,23.7595873,13,ΚΑΙΣΑΡΙΑΝΗΣ,,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ 13 Α Δήμος ΚΑΙΣΑΡΙΑΝΗΣ ΤΚ 16121,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ,,ΚΑΙΣΑΡΙΑΝΗ,16121.0,ΚΑΙΣΑΡΙΑΝΗΣ,26260.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21812,63",0.0,0.0
841,37.9194491,23.7475477,131,ΗΛΙΟΥΠΟΛΕΩΣ,3,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ 131 Ξ Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16341,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ,ΠΟΛΥΚΛΑΔΙΚΑ ΛΥΚΕΙΑ,ΗΛΙΟΥΠΟΛΗ,16341.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23993,66",9.0,9.0
842,37.9632125,23.7604412,17,ΚΑΙΣΑΡΙΑΝΗΣ,5/8,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ 17  Δήμος ΚΑΙΣΑΡΙΑΝΗΣ ΤΚ 16121,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΗΡΩΣ,6 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ Δ.ΚΑΙΣΑΡΙΑΝΗΣ,ΚΑΙΣΑΡΙΑΝΗ,16121.0,ΚΑΙΣΑΡΙΑΝΗΣ,26260.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21812,63",115.0,112.0
843,37.962494,23.6538961,36,ΠΕΙΡΑΙΩΣ,5/8,ΚΩΠΑΪΔΟΣ 36  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18542,ΚΩΠΑΪΔΟΣ,13 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,Π. ΚΟΚΚΙΝΙΑ,18542.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"17908,94",67.0,65.0
844,37.9570258,23.7238163,55,ΑΘΗΝΑΙΩΝ,5/8,ΛΑΓΟΥΜΙΤΖΗ 55  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11745,ΛΑΓΟΥΜΙΤΖΗ,94 ΔΗΜΟΤΙΚΟ/59 & 112 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΘΗΝΑ,11745.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20527,47",23.0,23.0
845,38.0154524999999,23.7488047,12,ΓΑΛΑΤΣΙΟΥ,5/8,ΛΑΔΑ ΧΡ. 12  Δήμος ΓΑΛΑΤΣΙΟΥ ΤΚ 11147,ΛΑΔΑ ΧΡ.,12 ΝΗΠΙΑΓΩΓΕΙΟ,ΓΑΛΑΤΣΙ,11147.0,ΓΑΛΑΤΣΙΟΥ,57917.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22496,49",24.0,22.0
846,38.0686019,23.8160143,18,ΚΗΦΙΣΙΑΣ,5/8,ΛΑΔΑ ΧΡ. 18  Δήμος ΚΗΦΙΣΙΑΣ ΤΚ 14562,ΛΑΔΑ ΧΡ.,1 ΔΗΜΟΤΙΚΟ,ΑΛΩΝΙΑ,14562.0,ΚΗΦΙΣΙΑΣ,72860.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"66521,38",82.0,87.0
847,38.0013143,23.7090579,36,ΠΕΡΙΣΤΕΡΙΟΥ,1.5,ΛΑΔΑ ΧΡ. 36  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12132,ΛΑΔΑ ΧΡ.,19 ΔΗΜΟΤΙΚΟ - 17 ΝΗΠΙΑΓ.,Ν. ΚΟΛΟΚΥΝΘΟΥ,12132.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21136,59",121.0,127.0
848,38.0172746,23.854135,2,ΓΕΡΑΚΑ,1.5,ΛΑΚΩΝΙΑΣ 2  Δήμος ΓΕΡΑΚΑ ΤΚ 15344,ΛΑΚΩΝΙΑΣ,ΔΗΜΟΤΙΚΟ,ΓΕΡΑΚΑΣ,15344.0,ΠΑΛΛΗΝΗΣ,60435.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"28153,27",127.0,124.0
849,37.9653556,23.694062,1,ΤΑΥΡΟΥ,,ΛΑΜΠΡΑΚΗ ΓΡ. 1  Δήμος ΤΑΥΡΟΥ ΤΚ 17778,ΛΑΜΠΡΑΚΗ ΓΡ.,5 ΔΗΜΟΤΙΚΟ,ΤΑΥΡΟΣ,17778.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"19006,42",67.0,70.0
850,38.0592002,23.7121285,12,ΚΑΜΑΤΕΡΟΥ,5/8,ΛΑΜΠΡΑΚΗ ΓΡ. 12  Δήμος ΚΑΜΑΤΕΡΟΥ ΤΚ 13451,ΛΑΜΠΡΑΚΗ ΓΡ.,2Ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΜΑΤΕΡΟΥ,ΚΑΜΑΤΕΡΟ,13451.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19752,55",125.0,142.0
851,37.9783367,23.6376856,341,ΝΙΚΑΙΑΣ,5/8,ΛΑΜΠΡΑΚΗ ΓΡ. ΛΕΩΦ. 341  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18451,ΛΑΜΠΡΑΚΗ ΓΡ. ΛΕΩΦ.,26 ΔΗΜΟΤΙΚΟ,ΝΕΑΠΟΛΗ,18451.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"20617,4",137.0,151.0
852,37.9783367,23.6376856,377,ΝΙΚΑΙΑΣ,1.5,ΛΑΜΠΡΑΚΗ ΓΡ. ΛΕΩΦ. 377  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18451,ΛΑΜΠΡΑΚΗ ΓΡ. ΛΕΩΦ.,26 ΔΗΜΟΤΙΚΟ ΝΙΚΑΙΑΣ,ΝΕΑΠΟΛΗ,18451.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"20617,4",137.0,151.0
