ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
1341,38.0158812,23.7117293,73,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΣΚΑΜΑΝΔΡΟΥ 73  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΣΚΑΜΑΝΔΡΟΥ,11 ΛΥΚΕΙΟ,ΜΠΟΥΡΝΑΖΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",85.0,60.0
1342,37.9711429,23.7071429,42,ΑΘΗΝΑΙΩΝ,,ΣΚΑΜΒΩΝΙΔΩΝ 42  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11853,ΣΚΑΜΒΩΝΙΔΩΝ,81 ΔΗΜΟΤΙΚΟ,ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ,11853.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18992,49",167.0,114.0
1343,37.9991394,23.744901,67,ΑΘΗΝΑΙΩΝ,1,ΣΚΟΠΕΛΟΥ 67  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11363,ΣΚΟΠΕΛΟΥ,172 ΔΗΜΟΤΙΚΟ,ΚΥΨΕΛΗ,11363.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21250,09",59.0,61.0
1344,38.0529718,23.7100202,7,ΚΑΜΑΤΕΡΟΥ,1,ΣΚΟΠΕΛΟΥ 7  Δήμος ΚΑΜΑΤΕΡΟΥ ΤΚ 13451,ΣΚΟΠΕΛΟΥ,4 ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΜΑΤΕΡΟΥ,ΚΑΜΑΤΕΡΟ,13451.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19752,55",23.0,26.0
1345,37.9469504,23.671241,30,ΠΕΙΡΑΙΩΣ,5/8,ΣΜΟΛΕΝΣΚΥ 30  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18547,ΣΜΟΛΕΝΣΚΥ,1 ΔΗΜΟΤΙΚΟ ΝΕΟΥ ΦΑΛΗΡΟΥ,ΝΕΟ ΦΑΛΗΡΟ,18547.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"22662,39",0.0,0.0
1346,37.8532095,23.7799817,1,ΒΟΥΛΑΣ,2,ΣΜΟΛΙΚΑ 1  Δήμος ΒΟΥΛΑΣ ΤΚ 16673,ΣΜΟΛΙΚΑ,3  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΥΛΑΣ,ΠΑΝΟΡΑΜΑ,16673.0,ΒΑΡΗΣ – ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,50585.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"40717,48",161.0,172.0
1347,37.8416197,23.7690082,17,ΒΟΥΛΑΣ,5/8,ΣΜΥΡΝΗΣ 17  Δήμος ΒΟΥΛΑΣ ΤΚ 16673,ΣΜΥΡΝΗΣ,ΝΗΠΙΑΓΩΓΕΙΟ ΒΟΥΛΑΣ,ΒΟΥΛΑ,16673.0,ΒΑΡΗΣ – ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,50585.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"40717,48",20.0,25.0
1348,35.3367709,25.1348365,31,ΗΡΑΚΛΕΙΟΥ,1,ΣΜΥΡΝΗΣ 31  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14122,ΣΜΥΡΝΗΣ,2 ΛΥΚΕΙΟ,ΗΡΑΚΛΕΙΟ,14122.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"24674,11",120.0,137.0
1349,38.0338889,23.7402029,40,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,1,ΣΜΥΡΝΗΣ 40  Δήμος ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ ΤΚ 14341,ΣΜΥΡΝΗΣ,1Η ΣΧΟΛ ΕΠΙΤΡ Α/ΜΙΑΣ ΕΚΠΑΙΔ.Δ.ΦΙΛ/ΦΕΙΑΣ-Ν.ΧΑΛΚΗΔΟΝ ,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,14341.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,22035,0.0,0.0
1350,37.9670137,23.6919595,78,ΤΑΥΡΟΥ,1,ΣΜΥΡΝΗΣ 78  Δήμος ΤΑΥΡΟΥ ΤΚ 17778,ΣΜΥΡΝΗΣ,1 ΔΗΜ ΣΧ ΤΑΥΡΟΥ,ΤΑΥΡΟΣ,17778.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"19006,42",163.0,122.0
1351,38.0236947,23.7951235,18,ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,1.5,ΣΟΛΩΜΟΥ 18  Δήμος ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ ΤΚ 14343,ΣΟΛΩΜΟΥ,2H ΣΧΟΛ ΕΠΙΤΡ Β/ΜΙΑΣ ΕΚΠ/ΣΗΣ Δ.ΦΙΛ/ΦΕΙΑΣ-ΧΑΛΚΗΔΟΝΑ ,ΝΕΑ ΧΑΛΚΗΔΟΝΑ,14343.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,,0.0,0.0
